00000200 A _Min_Heap_Size
00000400 A _Min_Stack_Size
08000000 D vectors
08001800 t __do_global_dtors_aux
08001824 t frame_dummy
08001840 T __aeabi_drsub
08001848 T __aeabi_dsub
08001848 T __subdf3
0800184c T __adddf3
0800184c T __aeabi_dadd
08001ac4 T __aeabi_ui2d
08001ac4 T __floatunsidf
08001ae4 T __aeabi_i2d
08001ae4 T __floatsidf
08001b08 T __aeabi_f2d
08001b08 T __extendsfdf2
08001b4c T __aeabi_ul2d
08001b4c T __floatundidf
08001b5c T __aeabi_l2d
08001b5c T __floatdidf
08001bb8 T __aeabi_d2uiz
08001bb8 T __fixunsdfsi
08001bf8 T __aeabi_d2f
08001bf8 T __truncdfsf2
08001c98 T strcmp
08001cac T strlen
08001cc0 T memchr
08001d60 T __aeabi_dmul
08001d60 T __muldf3
08001fb4 T __aeabi_ddiv
08001fb4 T __divdf3
08002184 T __gedf2
08002184 T __gtdf2
0800218c T __ledf2
0800218c T __ltdf2
08002194 T __cmpdf2
08002194 T __eqdf2
08002194 T __nedf2
08002210 T __aeabi_cdrcmple
08002220 T __aeabi_cdcmpeq
08002220 T __aeabi_cdcmple
08002230 T __aeabi_dcmpeq
08002244 T __aeabi_dcmplt
08002258 T __aeabi_dcmple
0800226c T __aeabi_dcmpge
08002280 T __aeabi_dcmpgt
08002294 T __aeabi_dcmpun
08002294 T __unorddf2
080022c0 T __aeabi_d2iz
080022c0 T __fixdfsi
08002310 T SystemClock_Config
080023ac T main
08002444 T modCANInit
0800254c T modCANGetDestinationID
08002570 T modCANGetCANID
0800258c T USB_LP_CAN_RX0_IRQHandler
08002598 T modCANTransmitExtID
080025c4 T modCANSendStatusFast
080026c8 T modCANSendStatusSlow
08002760 T modCANSendStatusVESC
08002adc T modCANSubTaskHandleCommunication
08002f10 T modCANTransmitStandardID
08002f3c T modCANSendBuffer
08003064 t modCANSendPacketWrapper
08003078 T modCANHandleKeepAliveSafetyMessage
080030ec T modCANHandleCANOpenMessage
08003134 T HAL_CAN_RxCpltCallback
080031cc T modCANRXWatchDog
08003218 T modCANOpenChargerCheckPresent
0800322c T modCANOpenBMSSendHeartBeat
0800329c T modCANOpenChargerStartNode
080032c8 T modCANOpenChargerSetCurrentVoltageReady
08003330 T modCANHandleSubTaskCharger
08003448 T modCANTask
080034f4 t NVIC_SystemReset
08003518 T modCommandsInit
08003534 T modCommandsSetSendFunction
08003540 T modCommandsSendPacket
08003550 T modCommandsPrintf
0800358c T modCommandsVESCToEBMS
080035f4 T modCommandsEBMSToVESC
0800365c T modCommandsProcessPacket
080047cc T modConfigInit
080047e0 T modConfigStoreConfig
080047ec T modConfigLoadConfig
080047f8 T modconfigHardwareLimitsApply
080048b8 T modConfigLoadDefaultConfig
08004ac4 T modConfigStoreDefaultConfig
08004ae4 T modConfigStoreAndLoadDefaultConfig
08004b00 T modDelayInit
08004b28 T modDelayTick1ms
08004b48 T modDelayTick100ms
08004b7c T modDisplayInit
08004be4 T modDisplayTask
08004c20 T modDisplay100ConvertValueToASCII
08004c54 T modDisplay10ConvertValueToASCII
08004ca4 T modDisplay1ConvertValueToASCII
08004cdc T modDisplay0_1ConvertValueToASCII
08004d1c T modDisplay0_01ConvertValueToASCII
08004d60 T modDisplay0_001ConvertValueToASCII
08004da4 T modDisplayWrite
08004e34 T modDisplayShowInfo
0800546c T modEffectChangeState
08005494 T modEffectChangeStateError
080054c0 T modEffectTaskFlash
080054e8 T modEffectTaskFlashFast
08005510 T modEffectTaskBlinkShort
08005574 T modEffectTaskBlinkLong
080055d8 T modEffectTaskBlinkShortLong
08005614 T modEffectTaskError
08005680 T modEffectTask
080056f8 T modEffectInit
0800570c T modFlashEraseNewAppData
08005748 T modFlashWriteByte
080057a8 T modFlashWriteNewAppData
080057d4 T modFlashJumpToBootloader
08005864 T modOperationalStateUpdateStates
0800588c T modOperationalStateSetAllStates
080058b0 T modOperationalStateInit
08005928 T modOperationalStateHandleChargerDisconnect
08005990 T modOperationalStateTerminateOperation
080059a0 T modOperationalStateDelayedDisable
080059d8 T modOperationalStatePowerDownDelayCheck
08005a00 T modOperationalStateUpdateFaultStates
08005a28 T modOperationalStateTask
08006474 T modPowerElectronicsAllowForcedOn
08006480 T modPowerElectronicsDisableAll
080064b4 T modPowerElectronicsCalculateCellStats
08006548 T modPowerElectronicsCallMonitorsCalcBalanceResistorArray
080065e0 T modPowerElectronicsSubTaskCurrentWatch
08006614 T modPowerElectronicsUpdateSwitches
080066b4 T modPowerElectronicsSetPreCharge
080066e8 T modPowerElectronicsSetDisCharge
0800676c T modPowerElectronicsSetCharge
0800678c T modPowerElectronicsSetChargePFET
080067ac T modPowerElectronicsSetCooling
080067cc T modPowerElectronicsSubTaskVoltageWatch
08006ae8 T modPowerElectronicsCalcTempStats
08006cc4 T modPowerElectronicsMapVariableFloat
08006cfa T modPowerElectronicsInitISL
08006d20 T modPowerElectronicsCheckPackSOA
08006ed8 T modPowerElectronicsHCSafetyCANAndPowerButtonCheck
08006f0c T modPowerElectronicsResetBalanceModeActiveTimeout
08006f1c T modPowerElectronicsCellMonitorsInit
08006f8c T modPowerElectronicsCellMonitorsArrayTranslate
